unique_sciname,unique_common_name
NA,common baldcypress
NA,spp. serviceberry
NA,emerald city tuliptree
NA,spp. spruce
NA,wright brothers sugar maple
NA,heritage river birch
NA,arborvitae spp.
NA,spp. cherry/plum
NA,kindred spirit oak
NA,fraser fir
NA,exclamation planetree
NA,red pointe maple
NA,slender sweetgum
NA,common pawpaw
NA,streetkeeper honeylocust
NA,spp. hawthorn
NA,magnifica hackberry
NA,apollo maple
NA,pacific brilliance pin oak
NA,patriot elm
NA,spp. yew
NA,sentry ginkgo
NA,winged elm
NA,sentry linden
NA,eastern arborvitae
NA,streetspire oak
NA,spp. mulberry
NA,spp. pine
NA,corinthian linden
NA,spp. willow
NA,foster
NA,corneliancherry dogwood
NA,spp. honeysuckle
NA,spp. oak
NA,spp. ash
NA,spring flurry serviceberry
NA,roughleaf dogwood
NA,red sunset maple
NA,common peach
NA,gray dogwood
NA,spp. juniper
NA,starpower juniper
NA,skyward baldcypress
NA,spp. birch
NA,spp. sumac
NA,european filbert
NA,bigleaf magnolia
fraxinus pennsylvanica,green ash
catalpa speciosa,western catalpa
fraxinus americana,white ash
quercus bicolor,swamp white oak
tilia cordata,littleleaf linden
quercus palustris,pin oak
acer platanoides,norway maple
tilia americana,american linden
acer saccharum,sugar maple
juniperus spp,NA
amelanchier canadensis,shadblow serviceberry
quercus gambelii,gambel oak
malus sylvestris,european crabapple
ulmus pumila,siberian elm
gleditsia triacanthos,honeylocust
pinus nigra,austrian pine
pinus sylvestris,scotch pine
pinus mugo,mugo pine
celtis occidentalis,northern hackberry
acer x freemanii,freeman maple
populus deltoides,eastern cottonwood
populus deltoides,plains cottonwood
acer saccharinum,silver maple
pinus ponderosa,ponderosa pine
populus tremuloides,quaking aspen
malus x indian magic,indian magic crabapple
aesculus glabra,ohio buckeye
platanus x acerifolia,london planetree
gymnocladus dioicus,kentucky coffeetree
pinus eldarica,afghan pine
acer rubrum,red maple
picea pungens,blue spruce
syringa reticulata,japanese tree lilac
cercis canadensis,eastern redbud
